,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
463,7/9/14 19:20,7/9/14 19:22,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,South Atlantic,5,4,5,0,3.0,5.0,3.0
466,7/9/14 19:20,7/9/14 19:22,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$100,000 - $149,999",Some college or Associate degree,East North Central,4,2,3,1,3.0,4.0,1.0
469,7/9/14 19:19,7/9/14 19:45,Married,11-15 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,research regulation,Female,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,3,2,4,1,1.0,2.0,1.0
473,7/9/14 19:18,7/9/14 19:19,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Volunteer with animal welfare nonprofits,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,3.0,3.0
475,7/9/14 19:17,7/9/14 19:20,Married,16-20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,Within 11-15 years of our relationship,Strongly agree,Somewhat disagree,Neither agree nor disagree,Management Occupations,Male,30-44,"$50,000 - $99,999",Graduate degree,Pacific,3,2,5,0,5.0,2.0,3.0
480,7/9/14 19:17,7/9/14 19:19,Married,11-15 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,1,1,0,1,0,0,0,0,1,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Management Occupations,Male,45-60,Did not disclose,Graduate degree,Middle Atlantic,0,3,5,0,3.0,3.0,3.0
481,7/9/14 19:17,7/9/14 19:18,Married,16-20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,1,0,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$50,000 - $99,999",Bachelor degree,East North Central,3,2,4,1,5.0,5.0,5.0
482,7/9/14 19:16,7/9/14 19:18,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,"Education, Training, and Library Occupations",Female,45-60,"$100,000 - $149,999",Graduate degree,New England,4,3,5,1,5.0,5.0,1.0
483,7/9/14 19:17,7/9/14 19:19,Married,1-5 years,Once a year or less,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Somewhat disagree,Strongly disagree,Healthcare Practitioners and Technical Occupations,Female,30-44,"$25,000 - $49,999",Graduate degree,South Atlantic,2,2,5,1,1.0,2.0,1.0
486,7/9/14 19:16,7/9/14 19:16,"Single, but cohabiting with a significant other",1-5 years,Every night,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
