,StartDate,EndDate,CurrentRelationshipStatus,RelationshipLength,Frequency in separate beds,YouSleepAt,PartnerSleepAt,Reason_One of us snores,Reason_One of us makes frequent bathroom trips in the night,Reason_One of us is sick,Reason_We are no longer physically intimate,Reason_We have different temperature preferences for the room,Reason_We have had an argument or fight,Reason_Not enough space,Reason_Do not want to share the covers,Reason_One of us needs to sleep with a child,Reason_Night working/very different sleeping times,Reason_Other,First time in separate beds,Sleeping in separate beds helps us to stay together,We sleep better when we sleep in separate beds,Our sex life has improved as a result of sleeping in separate beds,Occupation,Gender,Age,Household income,Education,Location,Household income_code,Age_code,Education_code,Gender_code,Sleeping in separate beds helps us to stay together_code,We sleep better when we sleep in separate beds_code,Our sex life has improved as a result of sleeping in separate beds_code
171,7/9/14 20:17,7/9/14 20:20,Married,11-15 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,1,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Securities compliance,Male,30-44,"$100,000 - $149,999",Graduate degree,New England,4,2,5,0,3.0,4.0,3.0
172,7/9/14 20:17,7/9/14 20:19,"Single, but cohabiting with a significant other",1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Computer and Mathematical Occupations,Male,45-60,"$100,000 - $149,999",Bachelor degree,New England,4,3,4,0,3.0,4.0,2.0
173,7/9/14 20:17,7/9/14 20:19,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,1,0,0,1,0,0,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,Legal Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,5,3,5,0,4.0,4.0,3.0
174,7/9/14 20:16,7/9/14 20:18,In a domestic partnership or civil union,6-10 years,A few times per week,Separate bedroom,Separate bedroom,0,1,0,0,0,0,0,1,0,0,1,Within the first 1-5 years of our relationship,Somewhat agree,Somewhat agree,Somewhat disagree,Management Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,South Atlantic,4,4,5,1,4.0,4.0,2.0
175,7/9/14 20:16,7/9/14 20:18,"Single, but cohabiting with a significant other",1-5 years,Once a month or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,1,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Production Occupations,Male,18-29,"$50,000 - $99,999",Bachelor degree,East North Central,3,1,4,0,1.0,1.0,1.0
179,7/9/14 20:14,7/9/14 20:15,Married,More than 20 years,A few times per month,,,0,0,0,0,0,0,0,0,0,0,0,,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
180,7/9/14 20:14,7/9/14 20:16,Married,More than 20 years,Once a month or less,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Somewhat agree,Somewhat agree,Somewhat disagree,Management Occupations,Male,45-60,"$150,000+",Bachelor degree,West North Central,5,3,4,0,4.0,4.0,2.0
182,7/9/14 20:13,7/9/14 20:16,Married,6-10 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly agree,Somewhat agree,Strongly agree,Community and Social Service Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,4,4,5,1,5.0,4.0,5.0
183,7/9/14 20:12,7/9/14 20:16,Married,6-10 years,Every night,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,police officer,Male,45-60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,3,3,3,0,3.0,5.0,3.0
184,7/9/14 20:12,7/9/14 20:14,Married,1-5 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,0,0,0,1,0,0,0,1,0,Within the first 1-5 years of our relationship,Somewhat disagree,Strongly agree,Strongly disagree,law enforcement,Male,30-44,"$50,000 - $99,999",Bachelor degree,West North Central,3,2,4,0,2.0,5.0,1.0
189,7/9/14 20:10,7/9/14 20:13,"Single, but cohabiting with a significant other",6-10 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Management Occupations,Female,> 60,Did not disclose,Some college or Associate degree,Pacific,0,4,3,1,2.0,2.0,1.0
190,7/9/14 20:09,7/9/14 20:10,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,1,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Management Occupations,Female,> 60,"$50,000 - $99,999",Bachelor degree,South Atlantic,3,4,4,1,4.0,5.0,3.0
191,7/9/14 20:08,7/9/14 20:11,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,1,0,0,0,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Strongly agree,Strongly disagree,unemployed and looking for work,Male,45-60,Did not disclose,Graduate degree,West South Central,0,3,5,0,3.0,5.0,1.0
192,7/9/14 20:08,7/9/14 20:11,Married,More than 20 years,Once a month or less,Separate bedroom,On the couch/chair,1,0,0,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,"Installation, Maintenance, and Repair Occupations",Male,45-60,"$100,000 - $149,999",Some college or Associate degree,Middle Atlantic,4,3,3,0,3.0,3.0,3.0
193,7/9/14 20:08,7/9/14 20:11,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Male,45-60,"$150,000+",Graduate degree,South Atlantic,5,3,5,0,3.0,5.0,3.0
194,7/9/14 20:08,7/9/14 20:13,Married,6-10 years,Every night,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,1,0,1,Within 6-10 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Legal Occupations,Male,30-44,"$150,000+",Graduate degree,Mountain,5,2,5,0,3.0,5.0,3.0
195,7/9/14 20:08,7/9/14 20:12,Married,11-15 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Somewhat agree,Strongly agree,Neither agree nor disagree,Office and Administrative Support Occupations,Male,45-60,"$25,000 - $49,999",Bachelor degree,Mountain,2,3,4,0,4.0,5.0,3.0
197,7/9/14 20:07,7/9/14 20:12,Married,More than 20 years,Once a year or less,On the couch/chair,On the couch/chair,0,0,0,0,0,0,0,0,0,1,0,After 20 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,Management Occupations,Male,45-60,"$150,000+",Graduate degree,Middle Atlantic,5,3,5,0,1.0,1.0,1.0
198,7/9/14 20:07,7/9/14 20:09,Married,More than 20 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Management Occupations,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,3.0,4.0,2.0
199,7/9/14 20:07,7/9/14 20:08,Married,More than 20 years,Once a month or less,On the couch/chair,On the couch/chair,1,0,1,0,0,0,0,0,1,0,0,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,"Education, Training, and Library Occupations",Male,45-60,"$50,000 - $99,999",Bachelor degree,East North Central,3,3,4,0,3.0,2.0,3.0
203,7/9/14 20:04,7/9/14 20:05,In a domestic partnership or civil union,More than 20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,,,,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,Did not disclose,0,0,0,2,,,
204,7/9/14 20:03,7/9/14 20:06,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,1,0,0,0,0,0,0,After 20 years of our relationship,Strongly disagree,Neither agree nor disagree,Strongly disagree,Management Occupations,Male,30-44,"$50,000 - $99,999",High school degree,New England,3,2,2,0,1.0,3.0,1.0
205,7/9/14 20:03,7/9/14 20:06,Married,11-15 years,Every night,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,0,1,1,0,0,0,1,0,0,Within 6-10 years of our relationship,Strongly agree,Strongly agree,Neither agree nor disagree,Telecommunications,Male,30-44,"$50,000 - $99,999",Some college or Associate degree,Middle Atlantic,3,2,3,0,5.0,5.0,3.0
206,7/9/14 20:03,7/9/14 20:05,Married,16-20 years,Once a year or less,On the couch/chair,Other (please specify),0,0,1,0,1,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Healthcare Practitioners and Technical Occupations,Male,45-60,"$100,000 - $149,999",Graduate degree,East North Central,4,3,5,0,3.0,3.0,3.0
208,7/9/14 20:02,7/9/14 20:05,Married,16-20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Strongly disagree,librarian,Female,> 60,Did not disclose,Bachelor degree,Middle Atlantic,0,4,4,1,3.0,4.0,1.0
209,7/9/14 20:02,7/9/14 20:03,Married,More than 20 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,1,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Legal Occupations,Female,> 60,"$100,000 - $149,999",Graduate degree,New England,4,4,5,1,3.0,4.0,3.0
210,7/9/14 20:01,7/9/14 20:06,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,1,0,Within 11-15 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat disagree,retired,Male,> 60,Did not disclose,Some college or Associate degree,East North Central,0,4,3,0,3.0,5.0,2.0
211,7/9/14 20:01,7/9/14 20:04,Married,More than 20 years,A few times per month,Separate bedroom,Separate bedroom,1,0,0,0,0,0,1,0,0,0,0,After 20 years of our relationship,Somewhat agree,Somewhat agree,Neither agree nor disagree,retired,Male,> 60,Did not disclose,Bachelor degree,South Atlantic,0,4,4,0,4.0,4.0,3.0
213,7/9/14 20:01,7/9/14 20:04,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,0,0,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,retired,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,New England,4,4,3,0,3.0,4.0,3.0
215,7/9/14 20:01,7/9/14 20:03,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,retired,Female,> 60,"$50,000 - $99,999",High school degree,South Atlantic,3,4,2,1,3.0,5.0,3.0
216,7/9/14 20:01,7/9/14 20:03,"Single, but cohabiting with a significant other",More than 20 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Healthcare Practitioners and Technical Occupations,Female,> 60,"$50,000 - $99,999",Some college or Associate degree,South Atlantic,3,4,3,1,3.0,4.0,2.0
217,7/9/14 19:59,7/9/14 20:01,Married,16-20 years,A few times per week,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,1,0,1,0,0,1,1,0,0,0,Within 16-20 years of our relationship,Strongly agree,Strongly agree,Strongly disagree,Healthcare Support Occupations,Male,45-60,"$50,000 - $99,999",Bachelor degree,West North Central,3,3,4,0,5.0,5.0,1.0
222,7/9/14 19:56,7/9/14 19:59,Married,More than 20 years,Every night,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,1,0,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,retired,Female,> 60,Did not disclose,Bachelor degree,East North Central,0,4,4,1,3.0,3.0,3.0
223,7/9/14 19:56,7/9/14 19:57,Married,11-15 years,Once a year or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,0,0,Within the first 1-5 years of our relationship,Strongly disagree,Strongly disagree,Strongly disagree,"Education, Training, and Library Occupations",Male,30-44,"$100,000 - $149,999",Graduate degree,New England,4,2,5,0,1.0,1.0,1.0
224,7/9/14 19:56,7/9/14 19:57,Married,More than 20 years,A few times per month,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,1,0,0,0,0,0,1,Within 16-20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Business and Financial Operations Occupations,Male,30-44,Did not disclose,High school degree,Mountain,0,2,2,0,3.0,2.0,2.0
225,7/9/14 19:55,7/9/14 19:58,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Strongly agree,Somewhat agree,Flight Instructor,Male,> 60,"$100,000 - $149,999",Some college or Associate degree,West South Central,4,4,3,0,3.0,5.0,4.0
227,7/9/14 19:55,7/9/14 19:57,"Single, but cohabiting with a significant other",11-15 years,Every night,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,1,1,1,0,0,0,0,0,0,0,Within 11-15 years of our relationship,Somewhat agree,Somewhat agree,Somewhat agree,"Education, Training, and Library Occupations",Male,> 60,"$150,000+",Graduate degree,Middle Atlantic,5,4,5,0,4.0,4.0,4.0
228,7/9/14 19:55,7/9/14 19:58,Married,More than 20 years,Once a year or less,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,0,0,0,0,0,0,0,0,1,After 20 years of our relationship,Strongly disagree,Strongly disagree,Neither agree nor disagree,Retired. do babysit for my grandchild but not for money.,Female,> 60,"$50,000 - $99,999",Graduate degree,Middle Atlantic,3,4,5,1,1.0,1.0,3.0
231,7/9/14 19:54,7/9/14 19:56,Married,11-15 years,Every night,Separate bedroom,Separate bedroom,1,1,0,1,1,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Somewhat agree,Somewhat disagree,retired,Male,> 60,"$25,000 - $49,999",Bachelor degree,South Atlantic,2,4,4,0,3.0,4.0,2.0
233,7/9/14 19:54,7/9/14 19:58,Married,More than 20 years,A few times per week,On the couch/chair,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",1,0,1,0,0,0,0,0,0,0,0,After 20 years of our relationship,Neither agree nor disagree,Somewhat disagree,Strongly disagree,retired,Female,> 60,"$150,000+",Bachelor degree,East North Central,5,4,4,1,3.0,2.0,1.0
234,7/9/14 19:54,7/9/14 19:58,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,0,0,0,0,0,0,0,0,0,0,1,Within 11-15 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Sales and Related Occupations,Male,> 60,"$25,000 - $49,999",Some college or Associate degree,East North Central,2,4,3,0,5.0,5.0,5.0
237,7/9/14 19:53,7/9/14 19:56,Married,More than 20 years,Once a month or less,Separate bedroom,"My partner sleeps in our shared bed, I'm the one who sleeps somewhere else",0,0,1,0,0,0,0,0,0,0,0,Within 6-10 years of our relationship,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,retired,Male,> 60,"$50,000 - $99,999",Bachelor degree,East South Central,3,4,4,0,3.0,3.0,3.0
242,7/9/14 19:53,7/9/14 19:55,Married,1-5 years,A few times per month,"I sleep in our shared bed, my partner is the one who sleeps somewhere else",On the couch/chair,0,0,0,0,0,0,0,0,0,0,1,Within the first 1-5 years of our relationship,Somewhat disagree,Somewhat disagree,Strongly disagree,Stay at home parent,Female,30-44,Did not disclose,Some college or Associate degree,West South Central,0,2,3,1,2.0,2.0,1.0
243,7/9/14 19:52,7/9/14 19:54,Married,More than 20 years,Every night,Separate bedroom,Separate bedroom,1,1,0,0,0,0,0,0,0,0,0,After 20 years of our relationship,Strongly agree,Strongly agree,Strongly agree,Retired,Female,> 60,Did not disclose,Bachelor degree,West North Central,0,4,4,1,5.0,5.0,5.0
244,7/9/14 19:52,7/9/14 19:54,"Single, but cohabiting with a significant other",Less than 1 year,A few times per week,Separate bedroom,Separate bedroom,0,0,0,0,1,0,1,0,0,1,0,Immediately/ We've always slept in separate beds,Somewhat disagree,Somewhat disagree,Strongly disagree,Food Preparation and Serving Related Occupations,Female,18-29,"$0 - $24,999",Some college or Associate degree,West North Central,1,1,3,1,2.0,2.0,1.0
